,IPC_CHL,FX_ARG,IPC_ARG,FX_ARG_BLUE,FX_PER,IPC_PER,FX_BOL,IPC_BOL,FX_BRA,IPC_BRA,FX_USA,IPC_USA,FX_CAN,IPC_CAN,FX_ESP,IPC_ESP,FX_FRA,IPC_FRA,FX_DEU,IPC_DEU,FX_GBR,IPC_GBR,FX_CHN,IPC_CHN,FX_AUS,IPC_AUS
2000-11-01,4.7,574.5971428571429,,,162.8652380952381,80.46611067297495,,63.4600397558022,295.22857142857146,0.320093990145421,574.5971428571429,174.2,372.82666666666665,102.26111782801316,490.68142857142857,102.85318352758205,490.68142857142857,101.3946952539065,490.68142857142857,101.19879112530565,819.2,1.5,69.41714285714286,1.3,299.6380952380952,103.70096670295398
2000-12-01,4.5,574.6284210526316,,,163.27684210526314,80.59653634404887,,63.54300692353825,292.6615789473684,0.5897466539196949,574.6284210526316,174.6,377.5015789473684,102.49002269812452,514.9631578947368,103.14294142803048,514.9631578947368,101.5352301785543,514.9631578947368,101.31945781640832,839.0189473684211,1.2,69.42368421052632,0.4,313.0068421052632,104.07851460485443
2001-01-01,4.7,571.1163636363636,,,162.17772727272725,80.7269620151228,,63.6259740912743,292.2081818181818,0.570250732118765,571.1163636363636,175.6,380.2722727272727,102.71943995691964,536.4113636363636,103.43351563418764,536.4113636363636,101.67595988720925,536.4113636363636,101.4402683871975,845.1140909090908,1.2,68.99545454545455,1.2,317.1836363636364,104.4574370592086
2001-02-01,3.8,563.129,,,159.5885,80.73995468355604,,63.675191902643135,281.5425,0.4601109227616039,563.129,176.0,370.7085,102.93312709663029,519.043,103.73796264583676,519.043,101.81344766457872,519.043,101.6064650890757,818.47,1.2,68.036,0.0,301.2215,104.83353062233438
2001-03-01,3.5,587.7859090909092,,,167.01545454545456,80.75294735198928,,63.72440971401197,281.6686363636364,0.3798078619051609,587.7859090909092,176.1,377.935,103.14725876946626,535.32,104.0433057691798,535.32,101.95112135500916,535.32,101.77293408265967,849.5427272727272,1.3,71.01,0.8,296.6318181818182,105.21097829075134
2001-04-01,3.5,598.6279999999999,,,168.395,80.76594002042252,,63.7736275253808,273.01550000000003,0.5798561488180339,598.6279999999999,176.4,384.063,103.36183590018938,534.668,104.34954764183884,534.668,102.08898120989495,534.668,101.93967581406405,858.7584999999999,1.5,72.3235,1.6,299.266,105.58978493984507
2001-05-01,3.7,604.4780952380953,,,168.00904761904764,80.77893268885576,,63.82284533674963,264.3690476190476,0.4099649433386529,604.4780952380953,177.3,392.29238095238094,103.57685941548516,529.4766666666667,104.65669090919964,529.4766666666667,102.2270274809706,529.4766666666667,102.10669073013426,862.4314285714287,1.9,73.03,1.7,314.39428571428573,105.96995546255474
2001-06-01,3.6,616.0725,,,174.3625,80.791925357289,,63.872063148118464,258.771,0.520223168199684,616.0725,177.7,403.7745,103.792330243967,526.146,104.96473822443429,526.146,102.36526042031082,526.146,102.27397927844794,864.9350000000001,1.9,74.431,1.4,319.0295,106.35149476943629
2001-07-01,3.2,656.4557142857143,,,187.44333333333333,80.80491802572224,,63.9212809594873,266.4152380952381,1.32988697403115,656.4557142857143,177.4,429.2519047619047,104.00824931618,565.2928571428571,105.27369224852433,565.2928571428571,102.50368028033132,565.2928571428571,102.44154190731597,928.5385714285716,1.7,79.31333333333333,1.5,334.6652380952381,106.73440778872585
2001-08-01,3.8,673.7031818181817,,,192.93727272727276,80.81791069415549,,63.97049877085613,268.6118181818182,0.699774523424516,673.7031818181817,177.4,437.92545454545456,104.22461756460513,606.3122727272727,105.5835556502836,606.3122727272727,102.64228731378904,606.3122727272727,102.6093790657837,967.8381818181816,2.1,81.39681818181818,1.0,353.11727272727273,107.1186994664034
